Date,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
2016-12-27,19.15634864437858,18.369144612815045,17.48201138949361,17.313428736781862,17.956999807391178,19.27326318242627,22.18032543631157,23.973222538659414,24.762002394565197,26.33108141032115,27.728825371432837,27.517019441311074,26.752553085485395,26.386514911638987,25.6055019977088,25.792876683766874,28.218663769572032,36.98491773860104,32.79415217990846,31.350933897529355,32.203778806340466,29.639266870513353,25.150579401418504,22.739796037439124
2016-12-28,22.176975895656714,21.568073937148082,21.175249282651414,21.182493314662914,21.91688476776426,23.87340543815202,29.635419324224017,32.457828999986916,30.416726225458135,30.072358648697467,29.526962337446392,27.701313958555545,25.756319591251515,24.579717685131122,23.912088139408198,24.46976305044798,26.350958361915104,34.24906936478114,33.331512049748135,32.2261731110855,30.83669905473677,29.016960397004606,25.791073603334866,23.40409781172633
2016-12-29,21.39788494537412,20.578465178110907,19.721516894446225,19.75783284695514,19.98815138520602,21.899985654378344,26.99156917022621,32.28149022167744,29.46001172877472,30.093665426176937,30.361528240038933,30.149270578649354,29.011848703518073,28.799985863281712,28.494855093025414,28.760240377508893,30.688918750887055,41.16707575648251,38.06849811318048,36.76917791285986,35.50268689189267,32.064668115866155,27.63128240941858,25.254044239148342
2016-12-30,23.175348991890687,22.05487383065591,21.470131334206943,21.654316365121115,21.9079662853222,23.767766669053906,27.824997909269868,31.498247032291978,31.490738772349427,33.27225996106308,33.174170628134455,32.115175184669816,30.229373850457414,29.783596598478415,29.126842489330418,29.049150313726862,30.898412780741694,40.647038100827864,36.40204691681616,35.40883015905554,35.7847778922576,32.694336676710584,29.010842591038262,26.05246580541538
2016-12-31,23.493877141835753,22.632478795029616,22.08208392675577,21.792596699562175,21.465060339260233,21.77081499965214,22.859708813863826,24.8310111515834,26.69487914064112,27.589232528723546,26.79153745849045,25.047504356657843,22.235491448620817,20.554101236118193,18.994405650900315,19.025604653498135,21.165609111082347,30.82077833189717,26.288267058313494,23.535442841597334,22.167986844820007,23.860176651258957,22.93201198786836,22.191004619164993
2017-01-01,21.426367076545418,19.970417741298988,19.10659724633626,18.769452929345306,18.36740838252684,18.544991065766464,17.033080705847276,17.560140127563265,19.900274889954247,21.273377145114814,20.79342514667665,20.86455859009162,21.81621616716194,21.810460048203687,20.871927350968683,21.385253088132554,23.44276214934613,29.955308020287628,29.87423185972828,29.662478470436128,29.25785950481261,26.71083497400111,24.385361689829374,22.60427760325723
2017-01-02,22.052920583630282,21.192459221089212,20.420497242586965,20.481170026062337,20.95685480683886,22.606976915587246,26.537386552913347,28.252574270887347,27.84566305672117,29.422062634667853,29.776989991254343,29.48822916622764,27.79255292456945,26.583145426933026,25.735594810516353,25.330384989973666,26.53561958937453,35.90311578565663,32.5723379885779,29.639838527553884,26.31321539671049,24.59001644106563,22.84198482447235,21.574661210337705
2017-01-03,20.4847191638369,19.1456589227758,18.44560228128679,18.16178439907868,18.607340898869563,20.00638951435454,23.551980576121437,24.732592191216767,26.452947102835772,27.832841461345957,28.94383866406476,29.006962774043235,28.12661194722696,27.18757333380143,26.285089415300572,25.398041975852607,27.7761320088714,37.01063939395867,34.57393609103007,32.27807027446143,28.921061553670068,27.053116138427313,24.147556361019582,21.85926700267636
2017-01-04,21.640640800386507,20.777534383250885,20.188152611131645,20.047387208024652,21.127411031924655,22.755784885495725,29.319346351361848,32.04203829117164,31.34573256833027,32.14998387166512,32.64331504327327,32.223647713317646,31.1012781590243,30.417373869718485,30.250141603003073,30.22957916136747,33.11494664804355,45.148510111713655,46.87077352858914,44.57591233692085,39.85774281321379,35.684397200488,29.88495877154648,26.650636648147305
2017-01-05,25.873314538361253,25.408692654525392,25.082935579177768,25.73362047476354,25.695587197067052,28.367089338260797,34.45142099802989,44.33985024889,39.19258990576935,39.06274660492802,38.619971311313705,36.93661837812647,35.29205582706135,34.755633350819494,34.55041156441243,33.94155671278809,36.11733461323852,49.129230635665394,49.319431393150666,45.65420589960125,42.89374302354903,37.577161475654044,30.437959412960748,27.735504727212394
2017-01-06,27.06866858081457,25.754995086398345,24.916192408671396,25.65772114149955,26.875969774027837,29.233071382420235,38.49521541148589,48.724689917443634,44.82515511675501,44.158306459391405,42.81977844541052,39.80001219501957,36.41228375782825,35.17908204200071,34.46812841818614,34.230146558135814,36.211592087051976,49.529547850731284,49.30296066283796,46.96648153140533,44.451740677559556,41.234729193835946,34.7049701416654,29.913956026450904
2017-01-07,30.23833328241038,28.723014993601016,28.289341838992033,28.19704228533356,28.308336498885232,29.962580587132305,32.46733515493392,37.533763680917325,40.64873917374997,41.841926850950294,39.71181781020524,36.84860577343717,34.31247365089612,32.58304713678734,31.784630464724437,31.353074621623037,34.06955880232296,43.39719954217906,46.3259648898289,42.25989693689041,40.675932763212685,37.623436236340474,32.079204274462214,28.55078918881403
2017-01-08,28.890088791563382,27.372184373526988,26.26804749976665,25.54840867817172,25.065719116443915,25.173311437954982,26.16860065079574,29.035105309031284,31.759531913640195,33.56687393155049,33.196260591682616,31.898881037481186,30.498633009247257,28.91494840909246,28.68756667851015,28.782284266943854,31.058690364356277,40.66771940162679,43.39994554341919,40.152944036686854,38.9490801829347,35.68795339421594,31.277812321113878,28.520828252769316
2017-01-09,29.578990438800695,27.443651301136136,26.847649421561396,26.97719141291722,27.3150596357074,30.61776720024431,38.488943177981135,49.72389041180607,47.63365603626373,45.79808243664132,42.76589145030589,39.51247388135176,36.51634119835437,34.90434209017699,34.19912636575505,34.01642879418176,35.968095673418205,48.6659155202896,49.45958531504234,45.42338732148777,42.241410319010825,37.271175538636975,32.49492731607994,27.666236265712577
2017-01-10,21.390729323241658,20.389020073184724,19.34532183859681,19.190471184625352,19.67376622680006,21.403511968862514,27.04015263253255,31.790743666806364,32.12787436811349,31.394406484557635,30.063089839989495,28.151199488603265,25.37605236526004,22.99950900526379,21.43100086539325,19.94590350039036,21.476793142101762,32.59227807477951,33.41022096908168,29.36112473501212,25.083596717640205,22.244517376664664,21.06361114390822,19.731643334891263
2017-01-11,19.393657552141306,18.95733707338144,17.729273897094377,16.987541847053947,17.637618294864854,18.105004704209126,24.048466931721386,27.774231130689248,26.335503815992723,26.859394202507406,25.065597210990255,22.951100212435605,19.594061724890974,18.107572442955714,16.219660493238973,15.570505929064645,16.13800691291659,26.88270798352924,28.371971964104073,25.633672353569647,24.729015525104032,21.925020385483407,19.45203182468416,20.018712503269583
2017-01-12,19.31298646752055,18.431659900864318,17.70792131372235,17.128533918527403,17.996306228314637,20.084369737431977,26.25810608061632,29.810925445902722,27.85712163628557,28.278633662453974,28.458278349032497,26.892864834973125,25.373458646658534,24.337999689671967,22.177171062576285,21.577938178274678,23.007247684809535,30.010763366449297,31.07166696339011,30.55090640735539,28.229815903904488,27.15423098094975,23.846797119107258,21.833070524987654
2017-01-13,21.237244017923793,20.781757713437216,19.954327434843222,20.19826740877629,21.188191786335352,23.38847877559049,29.80483213246362,31.067015061785725,30.64880083729908,31.857553243550363,32.331687396651056,31.541411674455038,29.005890153624666,27.73756918777013,27.1714760157912,27.260491775680766,29.29011701782255,40.06414410314699,36.46687233249245,34.924195540446526,33.59987253357126,31.23125056259412,27.67904935157383,25.82895190985413
